Image_ID,Count,Area,Avg_size,Area_percent,Mean,Age,Measure,CARS,MBP,Layer
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 12)-1-1.tif,3850,36.262,0.009,1.121,255,1mo,MBP,0.373,1.121,L6
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 11)-1-1.tif,7,5.181,0.74,0.16,255,1mo,MBP,0.565,0.16,L6
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 10)-1-1.tif,4427,26.144,0.006,0.808,255,1mo,MBP,0.036,0.808,L6
1w-183-L6-3Calc-1-1.tif,22,12.053,0.548,0.373,255,1mo,CARS,,,L6
1w-183-L6-2Calc-1-1.tif,117,18.284,0.156,0.565,255,1mo,CARS,,,L6
1w-183-L6-1Calc-1-1.tif,2,1.18,0.59,0.036,255,1mo,CARS,,,L6
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 09)-1-1.tif,2802,17.91,0.006,0.554,255,1mo,MBP,0.263,0.554,L4
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 08)-1-1.tif,3283,20.389,0.006,0.63,255,1mo,MBP,0.217,0.63,L4
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 07)-1-1.tif,9,2.355,0.262,0.073,255,1mo,MBP,1.304,0.073,L4
1w-183-L4-3Calc-1-1.tif,18,8.495,0.472,0.263,255,1mo,CARS,,,L4
1w-183-L4-2Calc-1-1.tif,11,7.014,0.638,0.217,255,1mo,CARS,,,L4
1w-183-L4-1Calc-1-1.tif,3479,42.192,0.012,1.304,255,1mo,CARS,,,L4
A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A15-16-1w-183-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 06)-1-1.tif,3118,18.426,0.006,0.57,255,1mo,MBP,0,0.57,L2
